algoname,indtest,score,alpha,penalty,prior,Avg_BDeu,Avg_bic,Avg_ll,Avg_aic,avg_free_param,Avg_mi,Avg_mi_sh,total_mi,total_mi_sh,tuning_F1,tuning_SHD
hc,none,bic,none,19,none,-1181.024955,-1563.283626,-892.7090256,-1081.609026,188.9,88.71596973,72.33078524,1410.278098,1149.767676,NA,NA
hc,none,bic,none,20,none,-1181.024955,-1590.043326,-892.7090256,-1081.609026,188.9,88.71596973,72.33078524,1410.278098,1149.767676,NA,NA
mmhc,x2,bic,0.05,10,none,-1337.493086,-1590.747425,-1126.42155,-1257.22155,130.8,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bic,0.01,10,none,-1345.087257,-1591.958121,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
mmhc,x2,bdeu,0.05,none,1,-1337.995867,-1637.749079,-1127.165061,-1260.365061,133.20,106.06,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bdeu,0.05,none,2,-1319.646807,-1637.749079,-1127.165061,-1260.365061,133.2,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bdeu,0.05,none,3,-1315.655028,-1637.749079,-1127.165061,-1260.365061,133.2,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bdeu,0.05,none,4,-1316.67544,-1637.749079,-1127.165061,-1260.365061,133.2,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bdeu,0.05,none,5,-1320.00367,-1637.749079,-1127.165061,-1260.365061,133.2,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bdeu,0.05,none,6,-1324.53126,-1637.749079,-1127.165061,-1260.365061,133.2,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bdeu,0.05,none,7,-1329.716658,-1637.749079,-1127.165061,-1260.365061,133.2,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bdeu,0.05,none,8,-1335.265437,-1637.749079,-1127.165061,-1260.365061,133.2,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bdeu,0.05,none,9,-1341.005763,-1637.749079,-1127.165061,-1260.365061,133.2,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bdeu,0.05,none,10,-1346.832317,-1637.749079,-1127.165061,-1260.365061,133.2,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bdeu,0.01,none,1,-1345.087257,-1627.996595,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
mmhc,x2,bdeu,0.01,none,2,-1327.401871,-1627.996595,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
mmhc,x2,bdeu,0.01,none,3,-1323.691096,-1627.996595,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
mmhc,x2,bdeu,0.01,none,4,-1324.843844,-1627.996595,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
mmhc,x2,bdeu,0.01,none,5,-1328.228999,-1627.996595,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
mmhc,x2,bdeu,0.01,none,6,-1332.770039,-1627.996595,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
mmhc,x2,bdeu,0.01,none,7,-1337.941881,-1627.996595,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
mmhc,x2,bdeu,0.01,none,8,-1343.459525,-1627.996595,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
mmhc,x2,bdeu,0.01,none,9,-1349.156927,-1627.996595,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
mmhc,x2,bdeu,0.01,none,10,-1354.932515,-1627.996595,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
hc,none,bdeu,none,none,1,-1192.412391,-20554.95002,-513.3773756,-5741.777376,5228.4,63.95567895,48.04148856,2807.195477,2109.463708,NA,NA
hc,none,bdeu,none,none,2,-1156.848981,-22203.78803,-500.5173947,-6162.417395,5661.9,64.38139058,48.21120726,2870.610322,2150.590213,NA,NA
hc,none,bdeu,none,none,4,-1119.370274,-25114.51213,-488.0330024,-6912.533002,6424.5,64.36590076,48.23393217,2974.367799,2229.673981,NA,NA
hc,none,bdeu,none,none,7,-1091.507,-25509.44508,-482.7784815,-7011.678481,6528.9,63.68058084,47.82095174,3027.016989,2273.040909,NA,NA
hc,none,bdeu,none,none,5,-1108.471361,-26166.08493,-483.938843,-7183.838843,6699.9,63.93509183,47.87127532,2988.216564,2238.046135,NA,NA
hc,none,bdeu,none,none,6,-1101.030908,-26263.63536,-483.7423388,-7209.142339,6725.4,63.95645628,47.95063968,3015.206824,2261.074942,NA,NA
hc,none,bdeu,none,none,8,-1089.041412,-26709.93309,-481.5541016,-7323.954102,6842.4,63.47464698,47.60630507,3047.820111,2285.931891,NA,NA
hc,none,bdeu,none,none,9,-1087.32042,-26838.92871,-480.6037927,-7356.903793,6876.3,62.96774273,47.21123505,3048.611031,2285.808642,NA,NA
hc,none,bdeu,none,none,3,-1138.697181,-27153.91941,-489.7040718,-7445.804072,6956.1,64.59917919,48.28863412,2949.496217,2205.571703,NA,NA
hc,none,bdeu,none,none,10,-1089.646313,-27807.96693,-476.7724651,-7606.872465,7130.1,62.70900414,46.95352277,3073.693668,2301.69079,NA,NA
hc,none,bdeu,none,none,13,-1090.827429,-28397.45532,-474.0293959,-7758.629396,7284.6,62.18737905,46.45652894,3106.513629,2321.063397,NA,NA
hc,none,bdeu,none,none,15,-1090.813271,-28958.17874,-471.6537779,-7903.153778,7431.5,62.03651627,46.27073192,3129.567134,2334.183536,NA,NA
hc,none,bdeu,none,none,14,-1093.312189,-29415.25993,-471.815935,-8022.515935,7550.7,62.13482897,46.35177181,3134.486009,2338.528176,NA,NA
hc,none,bdeu,none,none,16,-1092.396787,-29746.66323,-471.262954,-8108.562954,7637.3,61.88805674,46.12037086,3146.986318,2345.25413,NA,NA
hc,none,bdeu,none,none,11,-1090.102495,-31836.36375,-475.6954161,-8656.995416,8181.3,62.47502332,46.68974194,3092.907956,2311.594067,NA,NA
hc,none,bdeu,none,none,12,-1090.459626,-32221.26908,-474.2128441,-8756.312844,8282.1,62.46349582,46.65988114,3104.900771,2319.415786,NA,NA
hc,none,bdeu,none,none,17,-1088.964096,-32947.036,-470.1359467,-8942.635947,8472.5,61.7746843,46.00519574,3147.775384,2344.189448,NA,NA
hc,none,bdeu,none,none,19,-1086.190408,-34236.67419,-471.8144459,-9280.314446,8808.5,61.87943901,46.15139695,3166.528556,2361.461838,NA,NA
hc,none,bdeu,none,none,18,-1086.578961,-34281.45423,-470.5959294,-9291.095929,8820.5,61.80501539,46.07566535,3162.56565,2357.743225,NA,NA
hc,none,bdeu,none,none,20,-1086.126322,-34681.18101,-470.1352367,-9395.035237,8924.9,61.86402655,46.10360352,3177.42173,2367.986673,NA,NA
