"","﻿Tunning","Sample size","hyperparm","algorithm+score","Cases","","algoname","indtest","score","alpha","penalty","prior","config id","precision","recall","BSF","f1","shd","tp","fp","fn","tn","nEdgesGtPag","a","i","nEdgesPag","tp_undirect","tp_bidirect","tp_o_direct","f1_bde","f1_bic","f1_ll","f1_aic","shd_ll","kl_f1","kl_shd","mi_f1","mi2_f1","Dynamic tuning_F1","Dynamic tuning_SHD","BDeu tuning_F1","BDeu tuning_SHD","BIC tuning_F1","BIC tuning_SHD","Dynamic BDeu/AIC tuning_F1","Dynamic BDeu/AIC tuning_SHD","AIC tuning_F1","AIC tuning_SHD","MI tuning_F1","MI tuning_SHD","Best_config_F1","Best_config_SHD","Best_config_F1","Best_config_SHD"
"16","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","16",16,"0.222601909",0.4625,0.0025,"0.300131673",13.5,3.7,9.2,4.3,10.8,8,8,20,16.8,0,0,0,"NA",-266.5265882,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","17",17,"0.219097007",0.4625,-0.0075,"0.297015731",13.7,3.7,9.4,4.3,10.6,8,8,20,17,0,0,0,"NA",-266.9187332,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","18",18,"0.205394307",0.45,-0.05,"0.281854701",14.4,3.6,10,4.4,10,8,8,20,17.6,0,0,0,"NA",-270.3018583,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","19",19,"0.198230564",0.4375,-0.0725,"0.272737892",14.7,3.5,10.2,4.5,9.8,8,8,20,17.7,0,0,0,"NA",-269.9263319,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","20",20,"0.192675009",0.425,-0.085,"0.265045584",14.8,3.4,10.2,4.6,9.8,8,8,20,17.7,0,0,0,"NA",-270.0762201,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.318725397236107,-0.947368421052632
"21","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","1","none",21,"0.284242424",0.4,0.195,"0.331929825",8.9,3.2,4.1,4.8,15.9,8,8,20,11.2,0,0,0,"NA",-241.7452693,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","2","none",22,"0.355277778",0.4,0.28,"0.376062092",7.2,3.2,2.4,4.8,17.6,8,8,20,9,0,0,0,"NA",-236.5477592,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","3","none",23,"0.390277778",0.4,0.3,"0.394852941",6.8,3.2,2,4.8,18,8,8,20,8.3,0,0,0,"NA",-235.5848404,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","4","none",24,"0.391666667",0.4,0.305,"0.395588235",6.7,3.2,1.9,4.8,18.1,8,8,20,8.2,0,0,0,"NA",-235.6071665,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","5","none",25,"0.344444444",0.35,0.25,"0.347058824",7.2,2.8,2,5.2,18,8,8,20,8.1,0,0,0,"NA",-235.5347262,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
