"","﻿Tunning","Sample size","hyperparm","algorithm+score","Cases","","algoname","indtest","score","alpha","penalty","prior","config id","precision","recall","BSF","f1","shd","tp","fp","fn","tn","nEdgesGtPag","a","i","nEdgesPag","tp_undirect","tp_bidirect","tp_o_direct","f1_bde","f1_bic","f1_ll","f1_aic","shd_ll","kl_f1","kl_shd","mi_f1","mi2_f1","Dynamic tuning_F1","Dynamic tuning_SHD","BDeu tuning_F1","BDeu tuning_SHD","BIC tuning_F1","BIC tuning_SHD","Dynamic BDeu/AIC tuning_F1","Dynamic BDeu/AIC tuning_SHD","AIC tuning_F1","AIC tuning_SHD","MI tuning_F1","MI tuning_SHD","Best_config_F1","Best_config_SHD","Best_config_F1","Best_config_SHD"
"1840","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","12",52,"0.757142857",0.675,0.64,"0.713333333",3.3,5.4,0.7,2.6,19.3,8,8,20,7.2,0,0,0,"NA",-234.8104532,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1841","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","13",53,"0.794642857",0.7,0.675,"0.744166667",2.9,5.6,0.5,2.4,19.5,8,8,20,7.1,0,0,0,"NA",-234.9370637,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1842","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","14",54,"0.808928571",0.7125,0.6875,"0.7575",2.8,5.7,0.5,2.3,19.5,8,8,20,7.1,0,0,0,"NA",-234.9370637,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1843","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","15",55,"0.808928571",0.7125,0.6875,"0.7575",2.8,5.7,0.5,2.3,19.5,8,8,20,7.1,0,0,0,"NA",-234.9370637,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1844","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","16",56,"0.857142857",0.75,0.73,"0.8",2.4,6,0.4,2,19.6,8,8,20,7,0,0,0,"NA",-234.9956719,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1845","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","17",57,"0.857142857",0.75,0.73,"0.8",2.4,6,0.4,2,19.6,8,8,20,7,0,0,0,"NA",-234.9956719,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1846","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","18",58,"0.857142857",0.75,0.73,"0.8",2.4,6,0.4,2,19.6,8,8,20,7,0,0,0,"NA",-234.9956719,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1847","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","19",59,"0.871428571",0.7625,0.7425,"0.813333333",2.3,6.1,0.4,1.9,19.6,8,8,20,7,0,0,0,"NA",-234.9956719,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1848","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","20",60,"0.871428571",0.7625,0.7425,"0.813333333",2.3,6.1,0.4,1.9,19.6,8,8,20,7,0,0,0,"NA",-234.9956719,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1849","SCORE_AIC",1000,NA,NA,"ASIA",NA,"pc","x2","none","0.05","none","none",61,"0.335",0.21875,0.21375,"0.263186813",5.725,1.75,0.1,6.25,19.9,8,8,20,5.1,0.625,0,0,"NA",-247.8460132,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1850","SCORE_AIC",1000,NA,NA,"ASIA",NA,"pc","x2","none","0.01","none","none",62,"0.343333333",0.21875,0.21875,"0.267032967",5.375,1.75,0,6.25,20,8,8,20,5.1,0.875,0,0,"NA",-240.8104653,"NA","NA","NA","NA","NA","NA","NA","0.014613779","0.061135371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0146137793005609,0.0611353711790392
"1851","SCORE_AIC",1000,NA,NA,"ASIA",NA,"pc","x2","none","0.1","none","none",63,"0.358571429",0.25625,0.23125,"0.297728938",5.875,2.05,0.5,5.95,19.5,8,8,20,5.7,0.575,0,0,"NA",-249.696821,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1852","SCORE_AIC",1000,NA,NA,"ASIA",NA,"pc","mi","none","0.05","none","none",64,"0.368333333",0.2375,0.2125,"0.287362637",6.05,1.9,0.5,6.1,19.5,8,8,20,5.1,0.55,0,0,"NA",-250.1218153,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1853","SCORE_AIC",1000,NA,NA,"ASIA",NA,"pc","mi","none","0.01","none","none",65,"0.45",0.2375,0.2325,"0.308391608",5.45,1.9,0.1,6.1,19.9,8,8,20,4.3,0.75,0,0,"NA",-245.90824,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1854","SCORE_AIC",1000,NA,NA,"ASIA",NA,"pc","mi","none","0.1","none","none",66,"0.406904762",0.28125,0.24625,"0.330512821",5.975,2.25,0.7,5.75,19.3,8,8,20,5.5,0.475,0,0,"NA",-253.4313429,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1855","SCORE_AIC",1000,NA,NA,"ASIA",NA,"pc","mi-sh","none","0.05","none","none",67,"0.415",0.2625,0.2425,"0.318298368",5.85,2.1,0.4,5.9,19.6,8,8,20,5,0.45,0,0,"NA",-251.5035018,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1856","SCORE_AIC",1000,NA,NA,"ASIA",NA,"pc","mi-sh","none","0.01","none","none",68,"0.47",0.24375,0.23875,"0.318648019",5.375,1.95,0.1,6.05,19.9,8,8,20,4.2,0.775,0,0,"NA",-246.0303927,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1857","SCORE_AIC",1000,NA,NA,"ASIA",NA,"pc","mi-sh","none","0.1","none","none",69,"0.453571429",0.3125,0.2875,"0.368241758",5.6,2.5,0.5,5.5,19.5,8,8,20,5.6,0.4,0,0,"NA",-253.2252335,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1858","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.05","none","1",70,"0.506666667",0.35,0.34,"0.413186813",5.4,2.8,0.2,5.2,19.8,8,8,20,5.5,0,0,0,"NA",-245.3973527,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"1859","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.05","none","2",71,"0.506666667",0.35,0.34,"0.413186813",5.4,2.8,0.2,5.2,19.8,8,8,20,5.5,0,0,0,"NA",-245.3973527,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1860","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.05","none","3",72,"0.506666667",0.35,0.34,"0.413186813",5.4,2.8,0.2,5.2,19.8,8,8,20,5.5,0,0,0,"NA",-245.3973527,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1861","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.05","none","4",73,"0.506666667",0.35,0.34,"0.413186813",5.4,2.8,0.2,5.2,19.8,8,8,20,5.5,0,0,0,"NA",-245.3973527,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1862","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.05","none","5",74,"0.506666667",0.35,0.34,"0.413186813",5.4,2.8,0.2,5.2,19.8,8,8,20,5.5,0,0,0,"NA",-245.3973527,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1863","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.05","none","6",75,"0.506666667",0.35,0.34,"0.413186813",5.4,2.8,0.2,5.2,19.8,8,8,20,5.5,0,0,0,"NA",-245.3973527,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1864","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.05","none","7",76,"0.486666667",0.3375,0.3275,"0.397802198",5.5,2.7,0.2,5.3,19.8,8,8,20,5.5,0,0,0,"NA",-245.4983431,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1865","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.05","none","8",77,"0.486666667",0.3375,0.3275,"0.397802198",5.5,2.7,0.2,5.3,19.8,8,8,20,5.5,0,0,0,"NA",-245.4983431,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1866","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.05","none","9",78,"0.503333333",0.35,0.34,"0.412087912",5.4,2.8,0.2,5.2,19.8,8,8,20,5.5,0,0,0,"NA",-245.4972571,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1867","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.05","none","10",79,"0.503333333",0.35,0.34,"0.412087912",5.4,2.8,0.2,5.2,19.8,8,8,20,5.5,0,0,0,"NA",-245.4972571,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1868","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.01","none","1",80,"0.546666667",0.35,0.345,"0.426373626",5.3,2.8,0.1,5.2,19.9,8,8,20,5.1,0,0,0,"NA",-243.2985425,"NA","NA","NA","NA","NA","NA","NA","0.031914894","0.018518519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1869","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.01","none","2",81,"0.546666667",0.35,0.345,"0.426373626",5.3,2.8,0.1,5.2,19.9,8,8,20,5.1,0,0,0,"NA",-243.2985425,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1870","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.01","none","3",82,"0.546666667",0.35,0.345,"0.426373626",5.3,2.8,0.1,5.2,19.9,8,8,20,5.1,0,0,0,"NA",-243.2985425,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1871","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.01","none","4",83,"0.546666667",0.35,0.345,"0.426373626",5.3,2.8,0.1,5.2,19.9,8,8,20,5.1,0,0,0,"NA",-243.2985425,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1872","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.01","none","5",84,"0.546666667",0.35,0.345,"0.426373626",5.3,2.8,0.1,5.2,19.9,8,8,20,5.1,0,0,0,"NA",-243.2985425,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1873","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.01","none","6",85,"0.546666667",0.35,0.345,"0.426373626",5.3,2.8,0.1,5.2,19.9,8,8,20,5.1,0,0,0,"NA",-243.2985425,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1874","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.01","none","7",86,"0.526666667",0.3375,0.3325,"0.410989011",5.4,2.7,0.1,5.3,19.9,8,8,20,5.1,0,0,0,"NA",-243.3995329,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1875","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.01","none","8",87,"0.526666667",0.3375,0.3325,"0.410989011",5.4,2.7,0.1,5.3,19.9,8,8,20,5.1,0,0,0,"NA",-243.3995329,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1876","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.01","none","9",88,"0.526666667",0.3375,0.3325,"0.410989011",5.4,2.7,0.1,5.3,19.9,8,8,20,5.1,0,0,0,"NA",-243.3995329,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1877","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bdeu","0.01","none","10",89,"0.526666667",0.3375,0.3325,"0.410989011",5.4,2.7,0.1,5.3,19.9,8,8,20,5.1,0,0,0,"NA",-243.3995329,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.05","1","none",90,"0.486666667",0.3375,0.3275,"0.397802198",5.5,2.7,0.2,5.3,19.8,8,8,20,5.5,0,0,0,"NA",-245.4983431,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1879","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.05","2","none",91,"0.496666667",0.3375,0.3275,"0.401098901",5.5,2.7,0.2,5.3,19.8,8,8,20,5.4,0,0,0,"NA",-245.2973527,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1880","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.05","3","none",92,"0.503333333",0.325,0.315,"0.394505495",5.6,2.6,0.2,5.4,19.8,8,8,20,5.2,0,0,0,"NA",-245.1034314,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1881","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.05","4","none",93,"0.503333333",0.325,0.315,"0.394505495",5.6,2.6,0.2,5.4,19.8,8,8,20,5.2,0,0,0,"NA",-245.1034314,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1882","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.05","5","none",94,"0.503333333",0.325,0.315,"0.394505495",5.6,2.6,0.2,5.4,19.8,8,8,20,5.2,0,0,0,"NA",-245.1034314,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.05","6","none",95,"0.511666667",0.325,0.325,"0.396886447",5.4,2.6,0,5.4,20,8,8,20,5,0,0,0,"NA",-245.6513994,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.05","7","none",96,"0.485",0.3,0.3,"0.370512821",5.6,2.4,0,5.6,20,8,8,20,4.9,0,0,0,"NA",-246.1560541,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1885","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.05","8","none",97,"0.485",0.3,0.3,"0.370512821",5.6,2.4,0,5.6,20,8,8,20,4.9,0,0,0,"NA",-246.1560541,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1886","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.05","9","none",98,"0.455",0.275,0.275,"0.342307692",5.8,2.2,0,5.8,20,8,8,20,4.7,0,0,0,"NA",-246.2003132,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1887","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.05","10","none",99,"0.445",0.2625,0.2625,"0.329487179",5.9,2.1,0,5.9,20,8,8,20,4.6,0,0,0,"NA",-246.4878362,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1888","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.01","1","none",100,"0.526666667",0.3375,0.3325,"0.410989011",5.4,2.7,0.1,5.3,19.9,8,8,20,5.1,0,0,0,"NA",-243.3995329,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1889","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.01","2","none",101,"0.536666667",0.3375,0.3325,"0.413553114",5.4,2.7,0.1,5.3,19.9,8,8,20,5,0,0,0,"NA",-243.1985425,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1890","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.01","3","none",102,"0.52",0.3125,0.3075,"0.38974359",5.6,2.5,0.1,5.5,19.9,8,8,20,4.8,0,0,0,"NA",-243.0057072,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1891","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.01","4","none",103,"0.52",0.3125,0.3075,"0.38974359",5.6,2.5,0.1,5.5,19.9,8,8,20,4.8,0,0,0,"NA",-243.0057072,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1892","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.01","5","none",104,"0.52",0.3125,0.3075,"0.38974359",5.6,2.5,0.1,5.5,19.9,8,8,20,4.8,0,0,0,"NA",-243.0057072,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1893","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.01","6","none",105,"0.525",0.3125,0.3125,"0.391025641",5.5,2.5,0,5.5,20,8,8,20,4.7,0,0,0,"NA",-243.5695242,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1894","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.01","7","none",106,"0.515",0.3,0.3,"0.378205128",5.6,2.4,0,5.6,20,8,8,20,4.6,0,0,0,"NA",-243.8827736,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1895","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.01","8","none",107,"0.515",0.3,0.3,"0.378205128",5.6,2.4,0,5.6,20,8,8,20,4.6,0,0,0,"NA",-243.8827736,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1896","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.01","9","none",108,"0.49",0.275,0.275,"0.351282051",5.8,2.2,0,5.8,20,8,8,20,4.4,0,0,0,"NA",-243.9270327,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1897","SCORE_AIC",1000,NA,NA,"ASIA",NA,"mmhc","x2","bic","0.01","10","none",109,"0.48",0.2625,0.2625,"0.338461538",5.9,2.1,0,5.9,20,8,8,20,4.3,0,0,0,"NA",-244.2145557,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1898","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","1",1,"0.44",0.5,0.425,"0.467973856",5.5,4,1.5,4,18.5,8,8,20,9.1,0,0,0,"NA",-2255.432048,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"1899","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","2",2,"0.426666667",0.5,0.415,"0.460130719",5.7,4,1.7,4,18.3,8,8,20,9.4,0,0,0,"NA",-2255.383253,"NA","NA","NA","NA","NA","NA","NA","-0.016759777","-0.036363636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","3",3,"0.407878788",0.5125,0.3875,"0.453457172",6.4,4.1,2.5,3.9,17.5,8,8,20,10.1,0,0,0,"NA",-2257.157572,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1901","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","4",4,"0.393232323",0.525,0.375,"0.448813209",6.8,4.2,3,3.8,17,8,8,20,10.7,0,0,0,"NA",-2258.275989,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1902","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","5",5,"0.388484848",0.55,0.385,"0.45497076",6.9,4.4,3.3,3.6,16.7,8,8,20,11.3,0,0,0,"NA",-2260.35661,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1903","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","6",6,"0.366783217",0.55,0.35,"0.439649123",7.6,4.4,4,3.6,16,8,8,20,12,0,0,0,"NA",-2263.174346,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1904","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","7",7,"0.363578089",0.55,0.345,"0.43726817",7.7,4.4,4.1,3.6,15.9,8,8,20,12.1,0,0,0,"NA",-2263.330141,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1905","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","8",8,"0.35495338",0.55,0.33,"0.431152882",8,4.4,4.4,3.6,15.6,8,8,20,12.4,0,0,0,"NA",-2264.363929,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1906","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","9",9,"0.347077922",0.55,0.315,"0.425178856",8.3,4.4,4.7,3.6,15.3,8,8,20,12.7,0,0,0,"NA",-2265.262736,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1907","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","10",10,"0.336721612",0.55,0.295,"0.417532468",8.7,4.4,5.1,3.6,14.9,8,8,20,13.1,0,0,0,"NA",-2266.615341,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1908","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","11",11,"0.330421245",0.55,0.28,"0.412488236",9,4.4,5.4,3.6,14.6,8,8,20,13.4,0,0,0,"NA",-2267.928123,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1909","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","12",12,"0.315604396",0.5375,0.2475,"0.397054395",9.5,4.3,5.8,3.7,14.2,8,8,20,13.8,0,0,0,"NA",-2269.224624,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1910","SCORE_AIC",10000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","13",13,"0.314065934",0.5375,0.2475,"0.396122718",9.5,4.3,5.8,3.7,14.2,8,8,20,13.8,0,0,0,"NA",-2268.628544,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
