algoname,indtest,score,alpha,penalty,prior,Avg_BDeu,Avg_bic,Avg_ll,Avg_aic,avg_free_param,Avg_mi,Avg_mi_sh,total_mi,total_mi_sh,tuning_F1,tuning_SHD
pc,mi-sh,none,0.1,none,none,-20306.43848,-19584.61072,-19174.36072,-19584.61072,410.25,165.5366398,159.41748,5289.842863,5093.8939,NA,NA
pc,mi-sh,none,0.05,none,none,-20423.51721,-19590.94059,-19085.94059,-19590.94059,505,154.170167,148.5566093,5232.701248,5042.319418,NA,NA
hc,none,bic,none,12,none,-19823.52886,-19596.33667,-18776.26641,-19065.76641,289.5,135.3060802,130.4147564,6218.066821,5993.303748,NA,NA
mmhc,x2,bic,0.01,5,none,-19979.63884,-19619.71452,-18922.41615,-19221.31615,298.9,151.8093762,146.2917383,5850.369991,5637.599256,NA,NA
hc,none,bic,none,13,none,-19787.54027,-19624.00016,-18811.78357,-19082.58357,270.8,140.4578358,135.4005153,6161.425463,5939.622762,NA,NA
mmhc,x2,bic,0.05,5,none,-20000.17888,-19625.54325,-18908.41538,-19215.81538,307.4,148.9280329,143.5297446,5875.785525,5662.592611,NA,NA
hc,none,bic,none,14,none,-19758.30198,-19650.96343,-18850.29899,-19103.19899,252.9,143.6132876,138.4485057,6083.965698,5865.21341,NA,NA
pc,x2,none,0.01,none,none,-20590.39875,-19652.53308,-19199.53308,-19652.53308,453,158.5852665,152.6816456,5309.430859,5111.793674,NA,NA
hc,none,bic,none,15,none,-19749.18685,-19685.02803,-18869.55472,-19114.25472,244.7,145.1573723,139.9391433,6004.864701,5789.075974,NA,NA
mmhc,x2,bic,0.01,6,none,-19940.06537,-19693.62022,-18949.24447,-19228.44447,279.2,154.642062,149.036977,5793.742079,5583.728682,NA,NA
mmhc,x2,bic,0.05,6,none,-19952.66181,-19697.37172,-18937.79919,-19222.69919,284.9,152.4375862,146.9253414,5816.279668,5605.835771,NA,NA
hc,none,bic,none,16,none,-19738.66363,-19713.83373,-18888.03353,-19124.03353,236,146.405302,141.1689676,5925.573373,5713.683984,NA,NA
pc,mi,none,0.05,none,none,-20620.43796,-19718.94561,-18996.44561,-19718.94561,722.5,166.0329763,159.7939086,5687.126569,5473.438971,NA,NA
pc,x2,none,0.05,none,none,-20550.55892,-19720.6417,-19184.47504,-19720.6417,536.1666667,164.6893995,158.7109958,5115.49362,4929.299309,NA,NA
hc,none,bic,none,17,none,-19728.52597,-19736.89291,-18913.92898,-19138.42898,224.5,148.1276744,142.8435708,5835.628486,5627.475379,NA,NA
mmhc,x2,bic,0.01,7,none,-19913.96388,-19765.94504,-18975.32357,-19238.92357,263.6,156.0918371,150.4434587,5723.770067,5516.669091,NA,NA
mmhc,x2,bic,0.05,7,none,-19924.49473,-19770.73562,-18965.41748,-19233.91748,268.5,154.1185172,148.5517252,5743.961889,5536.423263,NA,NA
hc,none,bic,none,18,none,-19729.76085,-19774.80105,-18930.91233,-19151.11233,220.2,148.8449335,143.5179783,5788.209977,5581.037826,NA,NA
hc,none,bic,none,1,none,-23693.09294,-19779.67842,-17360.07842,-19779.67842,2419.6,82.5677766,79.43479518,8047.485002,7742.036015,NA,NA
hc,none,bic,none,19,none,-19726.31936,-19804.49487,-18943.5136,-19158.8136,215.3,149.6171917,144.2754028,5743.300088,5538.248392,NA,NA
pc,x2,none,0.1,none,none,-20577.16694,-19819.38437,-19173.38437,-19819.38437,646,161.9292962,156.0455162,5027.317434,4844.432137,NA,NA
hc,none,bic,none,20,none,-19718.39205,-19829.51655,-18955.99143,-19165.69143,209.7,150.7298528,145.3620823,5725.359487,5521.425214,NA,NA
mmhc,x2,bic,0.01,8,none,-19884.95629,-19831.74519,-18989.27828,-19242.07828,252.8,157.8376826,152.1396837,5693.605052,5488.103518,NA,NA
mmhc,x2,bic,0.05,8,none,-19889.77217,-19835.06309,-18982.2653,-19238.1653,255.9,155.6242923,150.0161999,5709.205204,5503.457882,NA,NA
mmhc,x2,bic,0.05,9,none,-19851.01935,-19882.92472,-19008.6401,-19247.1401,238.5,159.7176694,153.9616824,5634.346066,5431.266905,NA,NA
mmhc,x2,bic,0.01,9,none,-19851.35842,-19883.36911,-19016.04944,-19252.64944,236.6,160.9888316,155.1747543,5613.219895,5410.503647,NA,NA
mmhc,x2,bic,0.01,10,none,-19829.27958,-19932.40943,-19032.23812,-19257.33812,225.1,164.4520702,158.5161772,5588.006735,5386.259532,NA,NA
mmhc,x2,bic,0.05,10,none,-19829.6605,-19932.65518,-19023.28621,-19250.68621,227.4,162.8562683,156.9932368,5611.478674,5409.375707,NA,NA
hc,none,bdeu,none,none,3,-20099.87,-21251.76,-18340.52,-19012.52,672.00,108.99,104.85,7125.32,6855.00,NA,NA
mcmc,none,bdeu,none,none,13,-19444.44,-19012.77,-18645.17,-19012.77,367.60,128.04,123.29,6465.89,6225.74,NA,NA
mcmc,none,bdeu,none,none,14,-19440.20,-19012.77,-18645.17,-19012.77,367.60,128.04,123.29,6465.89,6225.74,NA,NA
hc,none,bdeu,none,none,5,-19996.22,-21482.82,-18281.32,-19020.32,739.00,106.41,102.35,7137.76,6864.85,NA,NA
hc,none,bdeu,none,none,4,-20058.87,-21415.43,-18304.04,-19022.24,718.20,106.95,102.86,7141.49,6868.30,NA,NA
hc,none,bdeu,none,none,7,-19903.63,-21543.45,-18266.57,-19022.97,756.40,104.80,100.77,7156.20,6881.09,NA,NA
hc,none,bdeu,none,none,6,-19946.91,-21538.58,-18269.06,-19023.76,754.70,105.60,101.55,7168.02,6893.42,NA,NA
hc,none,bdeu,none,none,8,-19882.99,-21636.57,-18247.05,-19029.45,782.40,104.08,100.06,7192.09,6914.51,NA,NA
hc,none,bdeu,none,none,9,-19851.85,-21679.25,-18248.14,-19040.14,792.00,103.86,99.85,7195.82,6918.08,NA,NA
hc,none,bdeu,none,none,12,-19784.36,-21800.10,-18213.90,-19041.70,827.80,103.26,99.25,7244.89,6963.60,NA,NA
hc,none,bdeu,none,none,10,-19837.77,-21765.63,-18224.92,-19042.22,817.30,103.14,99.14,7226.04,6945.84,NA,NA
hc,none,bdeu,none,none,11,-19805.58,-21769.85,-18225.24,-19043.44,818.20,103.50,99.48,7241.13,6960.31,NA,NA
hc,none,bdeu,none,none,13,-19776.78,-21884.34,-18198.07,-19048.97,850.90,103.07,99.07,7294.22,7011.31,NA,NA
hc,none,bdeu,none,none,14,-19778.98,-22013.62,-18173.99,-19060.29,886.30,102.53,98.54,7318.02,7033.85,NA,NA
hc,none,bdeu,none,none,15,-19781.60,-22123.97,-18160.44,-19075.34,914.90,101.89,97.94,7340.93,7056.41,NA,NA
hc,none,bdeu,none,none,16,-19790.27,-22276.45,-18139.62,-19094.52,954.90,101.47,97.55,7370.84,7086.35,NA,NA
hc,none,bdeu,none,none,17,-19784.13,-22331.15,-18126.31,-19096.91,970.60,101.12,97.21,7396.80,7111.04,NA,NA
hc,none,bdeu,none,none,18,-19780.85,-22421.63,-18111.09,-19106.09,995.00,100.70,96.82,7407.14,7121.34,NA,NA
hc,none,bdeu,none,none,19,-19773.60,-22464.13,-18102.90,-19109.60,1006.70,100.42,96.55,7417.10,7131.47,NA,NA
hc,none,bdeu,none,none,20,-19772.38,-22519.81,-18097.49,-19118.29,1020.80,100.04,96.18,7419.42,7133.54,NA,NA
mmhc,x2,bdeu,0.05,none,2,-19871.80,-20301.79,-18895.99,-19220.49,324.50,148.11,142.74,5890.48,5677.00,NA,NA
mmhc,x2,bdeu,0.05,none,1,-19993.99,-20253.47,-18915.25,-19224.15,308.90,150.35,144.90,5857.38,5644.88,NA,NA
mmhc,x2,bdeu,0.05,none,10,-19649.30,-20396.02,-18874.55,-19225.75,351.20,146.03,140.76,5924.00,5709.75,NA,NA
mmhc,x2,bdeu,0.05,none,6,-19713.65,-20399.46,-18873.66,-19225.86,352.20,146.42,141.13,5923.46,5709.19,NA,NA
mmhc,x2,bdeu,0.05,none,7,-19691.41,-20399.46,-18873.66,-19225.86,352.20,146.42,141.13,5923.46,5709.19,NA,NA
mmhc,x2,bdeu,0.05,none,4,-19765.41,-20366.07,-18884.02,-19226.12,342.10,147.02,141.70,5905.44,5691.49,NA,NA
mmhc,x2,bdeu,0.05,none,8,-19674.53,-20399.76,-18873.95,-19226.15,352.20,146.03,140.76,5924.00,5709.75,NA,NA
