algoname,indtest,score,alpha,penalty,prior,Avg_BDeu,Avg_bic,Avg_ll,Avg_aic,avg_free_param,Avg_mi,Avg_mi_sh,total_mi,total_mi_sh,tuning_F1,tuning_SHD
pc,x2,none,0.05,none,none,-71304.33,-67594.45,-63496.45,-67594.45,4098.00,258.51,238.60,136880.36,126338.69,NA,NA
pc,x2,none,0.1,none,none,-71858.92,-68082.94,-63974.94,-68082.94,4108.00,256.55,236.53,137257.38,126547.83,NA,NA
pc,x2,none,0.01,none,none,-73402.83,-69566.39,-65703.19,-69566.39,3863.20,256.11,236.21,131074.80,120890.45,NA,NA
pc,mi-sh,none,0.1,none,none,-75467.17,-71652.87,-68047.87,-71652.87,3605.00,256.28,236.38,124495.20,114827.37,NA,NA
pc,mi,none,0.1,none,none,-76329.31,-72524.61,-68894.61,-72524.61,3630.00,254.92,235.10,122236.90,112733.42,NA,NA
pc,mi-sh,none,0.05,none,none,-77092.48,-73290.33,-69747.13,-73290.33,3543.20,255.58,235.66,120573.96,111176.20,NA,NA
pc,mi,none,0.05,none,none,-78468.47,-74649.52,-71144.52,-74649.52,3505.00,253.96,234.14,117005.07,107872.59,NA,NA
pc,mi-sh,none,0.01,none,none,-80759.71,-76941.19,-73555.59,-76941.19,3385.60,252.18,232.29,112158.43,103311.92,NA,NA
pc,mi,none,0.01,none,none,-82891.13,-79092.47,-75796.47,-79092.47,3296.00,250.94,231.04,106718.60,98252.90,NA,NA
